#country+code,#country+name,#indicator+code,#indicator+name,#indicator+value+num,#date+year
GUY,Guyana,38406,Multidimensional poverty index (MPI),0.01407371,2008-2019
GUY,Guyana,38506,"Population in multidimensional poverty, intensity of deprivation (%)",41.8084681,2008-2019
GUY,Guyana,38606,"Population in multidimensional poverty, headcount (%)",3.36623453,2008-2019
GUY,Guyana,43606,"Internet users, total (% of population)",37.3258,2018
GUY,Guyana,45806,Primary school teachers trained to teach (%),69.64942,2010-2019
GUY,Guyana,46006,Mobile phone subscriptions (per 100 people),82.9711,2018
GUY,Guyana,46106,Primary school dropout rate (% of primary school cohort),7.81281,2008-2018
GUY,Guyana,46206,"Pupil-teacher ratio, primary school (pupils per teacher)",23.1645,2010-2019
GUY,Guyana,52606,"Remittances, inflows (% of GDP)",7.795752,2014-2019
GUY,Guyana,53506,"Foreign direct investment, net inflows (% of GDP)",30.43332,2011-2019
GUY,Guyana,57806,"Mortality rate, female adult (per 1,000 people)",182.082,2014-2018
GUY,Guyana,57906,"Mortality rate, male adult (per 1,000 people)",268.873,2014-2018
GUY,Guyana,61006,"Homicide rate (per 100,000 people)",14.24890919,2013-2018
GUY,Guyana,65606,Gross fixed capital formation (% of GDP),36.78741922,2014-2019
GUY,Guyana,97106,Fresh water withdrawals (% of total renewable water resources),0.53,2007-2017
GUY,Guyana,97306,Natural resource depletion (% of GNI),12.389765,2015-2018
GUY,Guyana,98306,"Child malnutrition, stunting (moderate or severe) (% under age 5)",11.27089,2010-2019
GUY,Guyana,99106,Net official development assistance received (% of GNI),2.71027,2010-2018
GUY,Guyana,101006,Population in severe multidimensional poverty (%),0.67653009,2008-2019
GUY,Guyana,101406,"Literacy rate, adult (% ages 15 and older)",85.63973,2008-2018
GUY,Guyana,102006,"Population in multidimensional poverty, headcount (thousands) (for the year of the survey)",25.69685819,2008-2019
GUY,Guyana,111106,International inbound tourists (thousands),287,2011-2018
GUY,Guyana,111306,Private capital flows (% of GDP),-27.79494,2010-2019
GUY,Guyana,117806,Contribution of deprivation in education to the Multidimensional Poverty Index,18.68309975,2008-2019
GUY,Guyana,117906,Contribution of deprivation in health to the Multidimensional Poverty Index,31.50758147,2008-2019
GUY,Guyana,118006,Contribution of deprivation in standard of living to the Multidimensional Poverty Index,49.80932176,2008-2019
GUY,Guyana,123506,"Estimated gross national income per capita, female (2017 PPP $)",5358.535365,2019
GUY,Guyana,123606,"Estimated gross national income per capita, male (2017 PPP $)",13512.25467,2019
GUY,Guyana,128106,Mandatory paid maternity leave (days),91,2019
GUY,Guyana,128306,"Prison population (per 100,000 people)",275.2,2013-2018
GUY,Guyana,133206,Exports and imports (% of GDP),79.08176,2010-2019
GUY,Guyana,136906,"Human Development Index (HDI), female",0.661585421,2019
GUY,Guyana,137006,"Human Development Index (HDI), male",0.688354312,2019
GUY,Guyana,137906,Gender Development Index (GDI),0.961111754,2019
GUY,Guyana,142506,Population vulnerable to multidimensional poverty (%),5.84430695,2008-2019
GUY,Guyana,147206,International student mobility (% of total tertiary enrolment),-17.02608,2010-2017
GUY,Guyana,149206,Government expenditure on education (% of GDP),5.88842,2013-2018
GUY,Guyana,149406,Homeless people due to natural disaster (average annual per million people),0,2009/2019
GUY,Guyana,164206,"Forest area, change (%)",-0.864345738,1990/2016
GUY,Guyana,164406,Adjusted net savings (% of GNI),19.91106,2015-2018
GUY,Guyana,174206,"Total debt service (% of exports of goods, services and primary income)",4.970373,2015-2018
GUY,Guyana,175006,Female share of employment in senior and middle management (%),38.47,2009-2019
GUY,Guyana,175206,"Antenatal care coverage, at least one visit (%)",90.7,2009-2019
GUY,Guyana,175506,"Contraceptive prevalence, any method (% of married or in-union women of reproductive age, 15–49 years)",33.9,2009-2019
GUY,Guyana,175606,"Unmet need for family planning (% of married or in-union women of reproductive age, 15–49 years)",28,2009-2019
GUY,Guyana,175906,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, female (%)",5.15988,2009-2019
GUY,Guyana,177706,Survival rate to the last grade of lower secondary general education (%),87.77537,2008-2018
GUY,Guyana,178306,Gross capital formation (% of GDP),36.78742,2015-2019
GUY,Guyana,179406,Skilled labour force (% of labour force),41.2971,2010-2019
GUY,Guyana,179706,Ratio of education and health expenditure to military expenditure,6.654137,2010-2017
GUY,Guyana,180706,"Share of graduates in science, technology, engineering and mathematics programmes at tertiary level, male (%)",41.12554,2009-2019
GUY,Guyana,181106,Birth registration (% under age 5),88.7,2009-2019
GUY,Guyana,181206,Proportion of births attended by skilled health personnel (%),95.8,2014-2019
GUY,Guyana,181306,Child labour (% ages 5-17),10.84,2010-2019
GUY,Guyana,181406,"Child marriage, women married by age 18 (% of women ages 20–24 who are married or in union)",30.2,2005-2019
GUY,Guyana,183206,"Overall loss in HDI value due to inequality, average annual change (%)",-0.101121946,2010/2019
GUY,Guyana,183406,"Population in multidimensional poverty, headcount (thousands) (projection for 2018)",26.22320263,2008-2019
GUY,Guyana,183506,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are female (%)",27.20307,2009-2019
GUY,Guyana,183706,"Share of graduates from science, technology, engineering and mathematics programmes in tertiary education who are male (%)",72.79693,2009-2019
GUY,Guyana,183806,Inequality among the poor,0.00771036,2008-2019
GUY,Guyana,184006,Proportion of informal employment in nonagricultural employment (% of total employment in nonagriculture),53.91,2011-2019
GUY,Guyana,184306,"Number of deaths and missing persons attributed to disasters (per 100,000 population)",0.39511,2009-2019
GUY,Guyana,193006,"Proportion of informal employment in nonagricultural employment, female (% of total employment in nonagriculture)",47.53,2011-2019
GUY,Guyana,44206,Total population (millions),0.821585,2030
GUY,Guyana,47906,Median age (years),26.687,2020
GUY,Guyana,110806,"Net migration rate (per 1,000 people)",-7.722,2020
GUY,Guyana,21806,Refugees by country of origin (thousands),0.288,2019
GUY,Guyana,23806,Population with at least some secondary education (% ages 25 and older),64.18,2019
GUY,Guyana,23906,"Population with at least some secondary education, female (% ages 25 and older)",70.92,2019
GUY,Guyana,24006,"Population with at least some secondary education, male (% ages 25 and older)",56.44,2019
GUY,Guyana,24106,"Mean years of schooling, female (years)",8.8962,2019
GUY,Guyana,24206,"Mean years of schooling, male (years)",7.9727,2019
GUY,Guyana,31706,Share of seats in parliament (% held by women),31.88405797,2019
GUY,Guyana,36806,"Adolescent birth rate (births per 1,000 women ages 15-19)",74.382,2019
GUY,Guyana,43006,Vulnerable employment (% of total employment),25.513,2019
GUY,Guyana,44206,Total population (millions),0.782775,2019
GUY,Guyana,45106,Urban population (%),26.7,2019
GUY,Guyana,48706,"Labour force participation rate (% ages 15 and older), female",43.943,2019
GUY,Guyana,48806,"Labour force participation rate (% ages 15 and older), male",68.476,2019
GUY,Guyana,49006,Sex ratio at birth (male to female births),1.05,2019
GUY,Guyana,52606,"Remittances, inflows (% of GDP)",7.7957515,2019
GUY,Guyana,63106,Population ages 15–64 (millions),0.511609,2019
GUY,Guyana,64306,"Infants lacking immunization, measles (% of one-year-olds)",2,2019
GUY,Guyana,64406,"Infants lacking immunization, DTP (% of one-year-olds)",1,2019
GUY,Guyana,65606,Gross fixed capital formation (% of GDP),36.78741922,2019
GUY,Guyana,68606,Gender Inequality Index (GII),0.462,2019
GUY,Guyana,69206,Life expectancy at birth (years),69.91,2019
GUY,Guyana,69706,Expected years of schooling (years),11.43113,2019
GUY,Guyana,71406,Inequality-adjusted education index,0.53626802,2019
GUY,Guyana,71506,Inequality-adjusted life expectancy index,0.621955385,2019
GUY,Guyana,71606,Inequality-adjusted income index,0.514691983,2019
GUY,Guyana,73506,Overall loss in HDI due to inequality (%),18.47507331,2019
GUY,Guyana,101606,Inequality in education (%),10.7,2019
